"day","exp","Site","Group","Treatment","Mouse","Statistic","Cell_pop"
4,12,"Blood","1A","control","1A-1",80.5,"CD4"
4,12,"Blood","1A","control","1A-2",77.5,"CD4"
4,12,"Blood","1A","control","1A-3",80.7,"CD4"
4,12,"Blood","1A","control","1A-4",75.6,"CD4"
4,12,"Blood","1A","control","1A-5",70.7,"CD4"
4,12,"Blood","1B","infected","1B-1",72,"CD4"
4,12,"Blood","1B","infected","1B-2",77.9,"CD4"
4,12,"Blood","1B","infected","1B-3",75,"CD4"
4,12,"Blood","1B","infected","1B-4",79.1,"CD4"
4,12,"Blood","1B","infected","1B-5",75.4,"CD4"
8,12,"Blood","1A","control","1A-1",71.4,"CD4"
8,12,"Blood","1A","control","1A-2",71.8,"CD4"
8,12,"Blood","1A","control","1A-3",69.8,"CD4"
8,12,"Blood","1A","control","1A-4",65.8,"CD4"
8,12,"Blood","1A","control","1A-5",72,"CD4"
8,12,"Blood","1B","infected","1B-1",66.8,"CD4"
8,12,"Blood","1B","infected","1B-2",73.8,"CD4"
8,12,"Blood","1B","infected","1B-3",65.7,"CD4"
8,12,"Blood","1B","infected","1B-4",73,"CD4"
8,12,"Blood","1B","infected","1B-5",66.7,"CD4"
8,12,"Salivary Gland","1A","control","1A-1",67.8,"CD4"
8,12,"Salivary Gland","1A","control","1A-2",66.6,"CD4"
8,12,"Salivary Gland","1A","control","1A-3",65.2,"CD4"
8,12,"Salivary Gland","1A","control","1A-4",68.9,"CD4"
8,12,"Salivary Gland","1A","control","1A-5",54.1,"CD4"
8,12,"Salivary Gland","1B","infected","1B-1",52.3,"CD4"
8,12,"Salivary Gland","1B","infected","1B-2",69.9,"CD4"
8,12,"Salivary Gland","1B","infected","1B-3",66.6,"CD4"
8,12,"Salivary Gland","1B","infected","1B-4",69.3,"CD4"
8,12,"Salivary Gland","1B","infected","1B-5",63.5,"CD4"
8,12,"Spleen","1A","control","1A-1",60.3,"CD4"
8,12,"Spleen","1A","control","1A-2",62.2,"CD4"
8,12,"Spleen","1A","control","1A-3",59.6,"CD4"
8,12,"Spleen","1A","control","1A-4",57.7,"CD4"
8,12,"Spleen","1A","control","1A-5",62.6,"CD4"
8,12,"Spleen","1B","infected","1B-1",58.3,"CD4"
8,12,"Spleen","1B","infected","1B-2",59.6,"CD4"
8,12,"Spleen","1B","infected","1B-3",60.2,"CD4"
8,12,"Spleen","1B","infected","1B-4",60.8,"CD4"
8,12,"Spleen","1B","infected","1B-5",58.7,"CD4"
4,12,"Blood","1A","control","1A-1",0.33,"CD4_KLRG1"
4,12,"Blood","1A","control","1A-2",0.18,"CD4_KLRG1"
4,12,"Blood","1A","control","1A-3",0.11,"CD4_KLRG1"
4,12,"Blood","1A","control","1A-4",0.17,"CD4_KLRG1"
4,12,"Blood","1A","control","1A-5",0.23,"CD4_KLRG1"
4,12,"Blood","1B","infected","1B-1",0.35,"CD4_KLRG1"
4,12,"Blood","1B","infected","1B-2",0.21,"CD4_KLRG1"
4,12,"Blood","1B","infected","1B-3",0.61,"CD4_KLRG1"
4,12,"Blood","1B","infected","1B-4",0.32,"CD4_KLRG1"
4,12,"Blood","1B","infected","1B-5",0.39,"CD4_KLRG1"
8,12,"Blood","1A","control","1A-1",1.09,"CD4_KLRG1"
8,12,"Blood","1A","control","1A-2",0.63,"CD4_KLRG1"
8,12,"Blood","1A","control","1A-3",0.67,"CD4_KLRG1"
8,12,"Blood","1A","control","1A-4",0.68,"CD4_KLRG1"
8,12,"Blood","1A","control","1A-5",0.7,"CD4_KLRG1"
8,12,"Blood","1B","infected","1B-1",1.42,"CD4_KLRG1"
8,12,"Blood","1B","infected","1B-2",1.07,"CD4_KLRG1"
8,12,"Blood","1B","infected","1B-3",2.08,"CD4_KLRG1"
8,12,"Blood","1B","infected","1B-4",0.87,"CD4_KLRG1"
8,12,"Blood","1B","infected","1B-5",1.92,"CD4_KLRG1"
8,12,"Salivary Gland","1A","control","1A-1",0,"CD4_KLRG1"
8,12,"Salivary Gland","1A","control","1A-2",0.074,"CD4_KLRG1"
8,12,"Salivary Gland","1A","control","1A-3",0.043,"CD4_KLRG1"
8,12,"Salivary Gland","1A","control","1A-4",0,"CD4_KLRG1"
8,12,"Salivary Gland","1A","control","1A-5",1.67,"CD4_KLRG1"
8,12,"Salivary Gland","1B","infected","1B-1",2.9,"CD4_KLRG1"
8,12,"Salivary Gland","1B","infected","1B-2",0.075,"CD4_KLRG1"
8,12,"Salivary Gland","1B","infected","1B-3",0.059,"CD4_KLRG1"
8,12,"Salivary Gland","1B","infected","1B-4",0.038,"CD4_KLRG1"
8,12,"Salivary Gland","1B","infected","1B-5",0.076,"CD4_KLRG1"
8,12,"Spleen","1A","control","1A-1",1.84,"CD4_KLRG1"
8,12,"Spleen","1A","control","1A-2",1.5,"CD4_KLRG1"
8,12,"Spleen","1A","control","1A-3",1.17,"CD4_KLRG1"
8,12,"Spleen","1A","control","1A-4",1.62,"CD4_KLRG1"
8,12,"Spleen","1A","control","1A-5",1.5,"CD4_KLRG1"
8,12,"Spleen","1B","infected","1B-1",2.11,"CD4_KLRG1"
8,12,"Spleen","1B","infected","1B-2",1.29,"CD4_KLRG1"
8,12,"Spleen","1B","infected","1B-3",2.22,"CD4_KLRG1"
8,12,"Spleen","1B","infected","1B-4",1.81,"CD4_KLRG1"
8,12,"Spleen","1B","infected","1B-5",2.03,"CD4_KLRG1"
4,12,"Blood","1A","control","1A-1",18.2,"CD8"
4,12,"Blood","1A","control","1A-2",21.4,"CD8"
4,12,"Blood","1A","control","1A-3",18.4,"CD8"
4,12,"Blood","1A","control","1A-4",23.1,"CD8"
4,12,"Blood","1A","control","1A-5",28,"CD8"
4,12,"Blood","1B","infected","1B-1",26.6,"CD8"
4,12,"Blood","1B","infected","1B-2",21.1,"CD8"
4,12,"Blood","1B","infected","1B-3",23.6,"CD8"
4,12,"Blood","1B","infected","1B-4",20,"CD8"
4,12,"Blood","1B","infected","1B-5",23.3,"CD8"
8,12,"Blood","1A","control","1A-1",25.9,"CD8"
8,12,"Blood","1A","control","1A-2",26,"CD8"
8,12,"Blood","1A","control","1A-3",28.3,"CD8"
8,12,"Blood","1A","control","1A-4",32.1,"CD8"
8,12,"Blood","1A","control","1A-5",26.1,"CD8"
8,12,"Blood","1B","infected","1B-1",31,"CD8"
8,12,"Blood","1B","infected","1B-2",24.4,"CD8"
8,12,"Blood","1B","infected","1B-3",31.5,"CD8"
8,12,"Blood","1B","infected","1B-4",25.4,"CD8"
8,12,"Blood","1B","infected","1B-5",30.4,"CD8"
8,12,"Salivary Gland","1A","control","1A-1",31.1,"CD8"
8,12,"Salivary Gland","1A","control","1A-2",31.9,"CD8"
8,12,"Salivary Gland","1A","control","1A-3",33.3,"CD8"
8,12,"Salivary Gland","1A","control","1A-4",30.2,"CD8"
8,12,"Salivary Gland","1A","control","1A-5",35.1,"CD8"
8,12,"Salivary Gland","1B","infected","1B-1",39.4,"CD8"
8,12,"Salivary Gland","1B","infected","1B-2",27.3,"CD8"
8,12,"Salivary Gland","1B","infected","1B-3",29.9,"CD8"
8,12,"Salivary Gland","1B","infected","1B-4",28.7,"CD8"
8,12,"Salivary Gland","1B","infected","1B-5",34.5,"CD8"
8,12,"Spleen","1A","control","1A-1",36.2,"CD8"
8,12,"Spleen","1A","control","1A-2",34.4,"CD8"
8,12,"Spleen","1A","control","1A-3",37.3,"CD8"
8,12,"Spleen","1A","control","1A-4",38.8,"CD8"
8,12,"Spleen","1A","control","1A-5",34.6,"CD8"
8,12,"Spleen","1B","infected","1B-1",37.8,"CD8"
8,12,"Spleen","1B","infected","1B-2",37.3,"CD8"
8,12,"Spleen","1B","infected","1B-3",36,"CD8"
8,12,"Spleen","1B","infected","1B-4",35.4,"CD8"
8,12,"Spleen","1B","infected","1B-5",37,"CD8"
4,13,"Blood","2A","control","2A-1",0,"IE1"
4,13,"Blood","2A","control","2A-2",0,"IE1"
4,13,"Blood","2A","control","2A-3",0,"IE1"
4,13,"Blood","2A","control","2A-4",0,"IE1"
4,13,"Blood","2B","infected","2B-1",0.038,"IE1"
4,13,"Blood","2B","infected","2B-2",0,"IE1"
4,13,"Blood","2B","infected","2B-3",0,"IE1"
4,13,"Blood","2B","infected","2B-4",0,"IE1"
8,13,"Blood","2A","control","2A-1",0,"IE1"
8,13,"Blood","2A","control","2A-2",0,"IE1"
8,13,"Blood","2A","control","2A-3",0,"IE1"
8,13,"Blood","2A","control","2A-4",0,"IE1"
8,13,"Blood","2B","infected","2B-1",0.052,"IE1"
8,13,"Blood","2B","infected","2B-2",1.26,"IE1"
8,13,"Blood","2B","infected","2B-3",0.27,"IE1"
8,13,"Blood","2B","infected","2B-4",0.5,"IE1"
12,13,"Blood","2A","control","2A-1",0.019,"IE1"
12,13,"Blood","2A","control","2A-2",0.017,"IE1"
12,13,"Blood","2A","control","2A-3",0.023,"IE1"
12,13,"Blood","2A","control","2A-4",0.021,"IE1"
12,13,"Blood","2B","infected","2B-1",1.59,"IE1"
12,13,"Blood","2B","infected","2B-2",5.45,"IE1"
12,13,"Blood","2B","infected","2B-3",4.06,"IE1"
12,13,"Blood","2B","infected","2B-4",5.2,"IE1"
16,13,"Blood","2A","control","2A-1",0.085,"IE1"
16,13,"Blood","2A","control","2A-2",0,"IE1"
16,13,"Blood","2A","control","2A-3",0.04,"IE1"
16,13,"Blood","2A","control","2A-4",0,"IE1"
16,13,"Blood","2B","infected","2B-1",5.97,"IE1"
16,13,"Blood","2B","infected","2B-2",2.5,"IE1"
16,13,"Blood","2B","infected","2B-3",1.99,"IE1"
16,13,"Blood","2B","infected","2B-4",7.87,"IE1"
16,13,"Salivary Gland","2A","control","2A-1",0.66,"IE1"
16,13,"Salivary Gland","2A","control","2A-2",0.61,"IE1"
16,13,"Salivary Gland","2A","control","2A-3",0.46,"IE1"
16,13,"Salivary Gland","2A","control","2A-4",0.54,"IE1"
16,13,"Salivary Gland","2B","infected","2B-1",3.84,"IE1"
16,13,"Salivary Gland","2B","infected","2B-2",1.48,"IE1"
16,13,"Salivary Gland","2B","infected","2B-3",1.36,"IE1"
16,13,"Salivary Gland","2B","infected","2B-4",2.26,"IE1"
16,13,"Spleen","2A","control","2A-1",0.062,"IE1"
16,13,"Spleen","2A","control","2A-2",0.049,"IE1"
16,13,"Spleen","2A","control","2A-3",0.048,"IE1"
16,13,"Spleen","2A","control","2A-4",0.092,"IE1"
16,13,"Spleen","2B","infected","2B-1",3.09,"IE1"
16,13,"Spleen","2B","infected","2B-2",1.6,"IE1"
16,13,"Spleen","2B","infected","2B-3",0.88,"IE1"
16,13,"Spleen","2B","infected","2B-4",5.17,"IE1"
4,13,"Blood","2A","control","2A-1",0.85,"KLRG1"
4,13,"Blood","2A","control","2A-2",2.7,"KLRG1"
4,13,"Blood","2A","control","2A-3",0.67,"KLRG1"
4,13,"Blood","2A","control","2A-4",1.56,"KLRG1"
4,13,"Blood","2B","infected","2B-1",0.49,"KLRG1"
4,13,"Blood","2B","infected","2B-2",0.42,"KLRG1"
4,13,"Blood","2B","infected","2B-3",0.22,"KLRG1"
4,13,"Blood","2B","infected","2B-4",0.58,"KLRG1"
8,13,"Blood","2A","control","2A-1",1.45,"KLRG1"
8,13,"Blood","2A","control","2A-2",1.94,"KLRG1"
8,13,"Blood","2A","control","2A-3",1.39,"KLRG1"
8,13,"Blood","2A","control","2A-4",1.13,"KLRG1"
8,13,"Blood","2B","infected","2B-1",1.66,"KLRG1"
8,13,"Blood","2B","infected","2B-2",10.6,"KLRG1"
8,13,"Blood","2B","infected","2B-3",5.55,"KLRG1"
8,13,"Blood","2B","infected","2B-4",2.8,"KLRG1"
12,13,"Blood","2A","control","2A-1",1.03,"KLRG1"
12,13,"Blood","2A","control","2A-2",0.79,"KLRG1"
12,13,"Blood","2A","control","2A-3",0.53,"KLRG1"
12,13,"Blood","2A","control","2A-4",0.58,"KLRG1"
12,13,"Blood","2B","infected","2B-1",12.3,"KLRG1"
12,13,"Blood","2B","infected","2B-2",20.6,"KLRG1"
12,13,"Blood","2B","infected","2B-3",17.8,"KLRG1"
12,13,"Blood","2B","infected","2B-4",25.4,"KLRG1"
16,13,"Blood","2A","control","2A-1",0.91,"KLRG1"
16,13,"Blood","2A","control","2A-2",1.35,"KLRG1"
16,13,"Blood","2A","control","2A-3",0.75,"KLRG1"
16,13,"Blood","2A","control","2A-4",0.69,"KLRG1"
16,13,"Blood","2B","infected","2B-1",24.5,"KLRG1"
16,13,"Blood","2B","infected","2B-2",17.1,"KLRG1"
16,13,"Blood","2B","infected","2B-3",13.4,"KLRG1"
16,13,"Blood","2B","infected","2B-4",26.6,"KLRG1"
16,13,"Salivary Gland","2A","control","2A-1",0.45,"KLRG1"
16,13,"Salivary Gland","2A","control","2A-2",0.27,"KLRG1"
16,13,"Salivary Gland","2A","control","2A-3",0.87,"KLRG1"
16,13,"Salivary Gland","2A","control","2A-4",0.15,"KLRG1"
16,13,"Salivary Gland","2B","infected","2B-1",10.5,"KLRG1"
16,13,"Salivary Gland","2B","infected","2B-2",4.77,"KLRG1"
16,13,"Salivary Gland","2B","infected","2B-3",2.62,"KLRG1"
16,13,"Salivary Gland","2B","infected","2B-4",6.66,"KLRG1"
16,13,"Spleen","2A","control","2A-1",0.58,"KLRG1"
16,13,"Spleen","2A","control","2A-2",0.47,"KLRG1"
16,13,"Spleen","2A","control","2A-3",0.43,"KLRG1"
16,13,"Spleen","2A","control","2A-4",0.59,"KLRG1"
16,13,"Spleen","2B","infected","2B-1",11.1,"KLRG1"
16,13,"Spleen","2B","infected","2B-2",9.89,"KLRG1"
16,13,"Spleen","2B","infected","2B-3",5.84,"KLRG1"
16,13,"Spleen","2B","infected","2B-4",14.2,"KLRG1"
4,13,"Blood","2A","control","2A-1",5.64,"NK"
4,13,"Blood","2A","control","2A-2",1.84,"NK"
4,13,"Blood","2A","control","2A-3",2.8,"NK"
4,13,"Blood","2A","control","2A-4",5.3,"NK"
4,13,"Blood","2B","infected","2B-1",18.4,"NK"
4,13,"Blood","2B","infected","2B-2",2.87,"NK"
4,13,"Blood","2B","infected","2B-3",10.5,"NK"
4,13,"Blood","2B","infected","2B-4",12.9,"NK"
8,13,"Blood","2A","control","2A-1",10.9,"NK"
8,13,"Blood","2A","control","2A-2",23.7,"NK"
8,13,"Blood","2A","control","2A-3",8.23,"NK"
8,13,"Blood","2A","control","2A-4",9.57,"NK"
8,13,"Blood","2B","infected","2B-1",10.4,"NK"
8,13,"Blood","2B","infected","2B-2",4.66,"NK"
8,13,"Blood","2B","infected","2B-3",9.96,"NK"
8,13,"Blood","2B","infected","2B-4",12.8,"NK"
12,13,"Blood","2A","control","2A-1",16.8,"NK"
12,13,"Blood","2A","control","2A-2",9.09,"NK"
12,13,"Blood","2A","control","2A-3",11.3,"NK"
12,13,"Blood","2A","control","2A-4",10.8,"NK"
12,13,"Blood","2B","infected","2B-1",6.98,"NK"
12,13,"Blood","2B","infected","2B-2",10.5,"NK"
12,13,"Blood","2B","infected","2B-3",9.67,"NK"
12,13,"Blood","2B","infected","2B-4",5.06,"NK"
16,13,"Blood","2A","control","2A-1",6.75,"NK"
16,13,"Blood","2A","control","2A-2",2.56,"NK"
16,13,"Blood","2A","control","2A-3",6.78,"NK"
16,13,"Blood","2A","control","2A-4",12.2,"NK"
16,13,"Blood","2B","infected","2B-1",12.1,"NK"
16,13,"Blood","2B","infected","2B-2",29.8,"NK"
16,13,"Blood","2B","infected","2B-3",6.06,"NK"
16,13,"Blood","2B","infected","2B-4",7.19,"NK"
16,13,"Salivary Gland","2A","control","2A-1",2.98,"NK"
16,13,"Salivary Gland","2A","control","2A-2",2.04,"NK"
16,13,"Salivary Gland","2A","control","2A-3",3.4,"NK"
16,13,"Salivary Gland","2A","control","2A-4",1.26,"NK"
16,13,"Salivary Gland","2B","infected","2B-1",4.78,"NK"
16,13,"Salivary Gland","2B","infected","2B-2",4.61,"NK"
16,13,"Salivary Gland","2B","infected","2B-3",3.39,"NK"
16,13,"Salivary Gland","2B","infected","2B-4",7.8,"NK"
16,13,"Spleen","2A","control","2A-1",25.5,"NK"
16,13,"Spleen","2A","control","2A-2",26.1,"NK"
16,13,"Spleen","2A","control","2A-3",25.7,"NK"
16,13,"Spleen","2A","control","2A-4",22.1,"NK"
16,13,"Spleen","2B","infected","2B-1",31.9,"NK"
16,13,"Spleen","2B","infected","2B-2",34.3,"NK"
16,13,"Spleen","2B","infected","2B-3",39.9,"NK"
16,13,"Spleen","2B","infected","2B-4",34.5,"NK"
4,13,"Blood","2A","control","2A-1",46.9,"NK_KLRG1"
4,13,"Blood","2A","control","2A-2",51.7,"NK_KLRG1"
4,13,"Blood","2A","control","2A-3",48.7,"NK_KLRG1"
4,13,"Blood","2A","control","2A-4",41.4,"NK_KLRG1"
4,13,"Blood","2B","infected","2B-1",45.9,"NK_KLRG1"
4,13,"Blood","2B","infected","2B-2",36.6,"NK_KLRG1"
4,13,"Blood","2B","infected","2B-3",30.9,"NK_KLRG1"
4,13,"Blood","2B","infected","2B-4",40.4,"NK_KLRG1"
8,13,"Blood","2A","control","2A-1",43.2,"NK_KLRG1"
8,13,"Blood","2A","control","2A-2",44.4,"NK_KLRG1"
8,13,"Blood","2A","control","2A-3",44.8,"NK_KLRG1"
8,13,"Blood","2A","control","2A-4",43.3,"NK_KLRG1"
8,13,"Blood","2B","infected","2B-1",57.8,"NK_KLRG1"
8,13,"Blood","2B","infected","2B-2",63,"NK_KLRG1"
